,raceId,year,circuitId,driverId,constructorId,qualifying_position,q1_time_ms,q2_time_ms,q3_time_ms
374,19,2008,2,22,11.0,14.0,9798.0,10122.0,27352.0
375,19,2008,2,2,2.0,7.0,10229.0,10048.0,10353.0
376,19,2008,2,3,3.0,16.0,10343.0,10170.0,27352.0
377,19,2008,2,20,5.0,15.0,9711.0,10148.0,27352.0
378,19,2008,2,21,10.0,17.0,9840.0,27578.0,27352.0
379,19,2008,2,15,7.0,5.0,9705.0,10360.0,10311.0
380,19,2008,2,17,9.0,8.0,9940.0,10367.0,9709.0
381,19,2008,2,5,1.0,3.0,9727.0,10159.0,10213.0
382,19,2008,2,9,2.0,6.0,10294.0,10211.0,10327.0
383,19,2008,2,18,11.0,11.0,10347.0,9708.0,27352.0
384,20,2008,3,1,1.0,3.0,9950.0,10022.0,9592.0
385,20,2008,3,18,11.0,9.0,9993.0,9562.0,9557.0
386,20,2008,3,21,10.0,18.0,9801.0,27578.0,27352.0
387,20,2008,3,4,4.0,10.0,10147.0,9545.0,9615.0
388,20,2008,3,2,2.0,6.0,9437.0,10009.0,10037.0
389,20,2008,3,16,10.0,20.0,10145.0,27578.0,27352.0
390,20,2008,3,11,8.0,22.0,10225.0,27578.0,27352.0
391,20,2008,3,13,6.0,2.0,10037.0,9288.0,9423.0
392,20,2008,3,5,1.0,5.0,9357.0,9818.0,9788.0
393,20,2008,3,15,7.0,7.0,9693.0,9359.0,10294.0
394,20,2008,3,17,9.0,11.0,9494.0,9571.0,27352.0
395,20,2008,3,14,9.0,17.0,9733.0,27578.0,27352.0
396,20,2008,3,19,8.0,21.0,9540.0,27578.0,27352.0
397,20,2008,3,3,3.0,8.0,10103.0,9385.0,9415.0
398,20,2008,3,20,5.0,19.0,9862.0,27578.0,27352.0
399,20,2008,3,12,4.0,14.0,10175.0,9990.0,27352.0
400,20,2008,3,22,11.0,12.0,10144.0,9708.0,27352.0
401,20,2008,3,6,3.0,16.0,9686.0,10143.0,27352.0
402,20,2008,3,8,6.0,4.0,9852.0,10033.0,9718.0
403,20,2008,3,9,2.0,1.0,10093.0,9845.0,9396.0
